SWMM5 Inflows Interface File
Inflows rate to nodes
60
1
FLOW CFS
1
J1
Node Year Mon Day Hr Min Sec Flow
J1 2020 06 01 04 19 00 2e-06
J1 2020 06 01 04 20 00 2e-06
J1 2020 06 01 04 21 00 2e-06
J1 2020 06 01 04 22 00 2e-06
J1 2020 06 01 04 23 00 2e-06
J1 2020 06 01 04 24 00 2e-06
J1 2020 06 01 04 25 00 2e-06
J1 2020 06 01 04 26 00 2e-06
J1 2020 06 01 04 27 00 2e-06
J1 2020 06 01 04 28 00 2e-06
J1 2020 06 01 04 29 00 2e-06
J1 2020 06 01 04 30 00 2e-06
J1 2020 06 01 04 31 00 2e-06
J1 2020 06 01 04 32 00 2e-06
J1 2020 06 01 04 33 00 2e-06
J1 2020 06 01 04 34 00 2e-06
J1 2020 06 01 04 35 00 2e-06
J1 2020 06 01 04 36 00 2e-06
J1 2020 06 01 04 37 00 2e-06
J1 2020 06 01 04 38 00 2e-06
J1 2020 06 01 04 39 00 2e-06
J1 2020 06 01 04 40 00 2e-06
J1 2020 06 01 04 41 00 2e-06
J1 2020 06 01 04 42 00 2e-06
J1 2020 06 01 04 43 00 2e-06
J1 2020 06 01 04 44 00 2e-06
J1 2020 06 01 04 45 00 2e-06
J1 2020 06 01 04 46 00 2e-06
J1 2020 06 01 04 47 00 2e-06
J1 2020 06 01 04 48 00 2e-06
J1 2020 06 01 04 49 00 2e-06
J1 2020 06 01 04 50 00 2e-06
J1 2020 06 01 04 51 00 2e-06
J1 2020 06 01 04 52 00 2e-06
J1 2020 06 01 04 53 00 2e-06
J1 2020 06 01 04 54 00 2e-06
J1 2020 06 01 04 55 00 2e-06
J1 2020 06 01 04 56 00 2e-06
J1 2020 06 01 04 57 00 2e-06
J1 2020 06 01 04 58 00 2e-06
J1 2020 06 01 04 59 00 2e-06
J1 2020 06 01 05 00 00 2e-06
J1 2020 06 01 05 01 00 2e-06
J1 2020 06 01 05 02 00 2e-06
J1 2020 06 01 05 03 00 2e-06
J1 2020 06 01 05 04 00 1e-06
J1 2020 06 01 05 05 00 1e-06
J1 2020 06 01 05 06 00 1e-06
J1 2020 06 01 05 07 00 1e-06
J1 2020 06 01 05 08 00 1e-06
J1 2020 06 01 05 09 00 1e-06
J1 2020 06 01 05 10 00 1e-06
J1 2020 06 01 05 11 00 1e-06
